LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),DateLoc
8,2024-06-28 04:57:43,0.0,1006.95,28.71,100.0,24.17,0.0,2024062808
8,2024-06-28 04:58:44,0.0,1006.98,28.71,99.98,30.0,0.0,2024062808
8,2024-06-28 04:59:42,0.0,1006.98,28.71,99.46,37.5,0.0,2024062808
8,2024-06-28 05:00:43,0.0,1006.96,28.72,99.7,47.5,0.0,2024062808
8,2024-06-28 05:01:43,0.0,1007.0,28.73,99.91,60.0,0.0,2024062808
8,2024-06-28 05:02:42,0.0,1007.0,28.77,99.84,70.83,0.0,2024062808
8,2024-06-28 05:03:43,0.0,1007.01,28.78,100.0,80.83,0.0,2024062808
8,2024-06-28 05:04:42,0.0,1007.01,28.81,100.0,90.83,0.0,2024062808
8,2024-06-28 05:05:41,0.0,1006.98,28.83,100.0,98.33,0.0,2024062808
8,2024-06-28 05:06:42,0.0,1006.97,28.84,100.0,105.83,0.0,2024062808
8,2024-06-28 05:07:41,0.0,1006.98,28.86,100.0,115.83,0.0,2024062808
8,2024-06-28 05:08:41,0.0,1006.99,28.84,100.0,124.17,0.0,2024062808
8,2024-06-28 05:09:41,0.0,1006.95,28.82,100.0,135.0,0.0,2024062808
8,2024-06-28 05:10:41,0.0,1006.97,28.83,100.0,146.67,0.01,2024062808
8,2024-06-28 05:11:42,0.0,1006.99,28.85,100.0,161.67,0.01,2024062808
8,2024-06-28 05:12:43,0.0,1006.99,28.85,99.31,179.17,0.01,2024062808
8,2024-06-28 05:13:42,0.0,1006.99,28.88,99.25,198.33,0.01,2024062808
8,2024-06-28 05:14:43,0.0,1007.0,28.89,98.43,218.33,0.01,2024062808
8,2024-06-28 05:15:43,0.0,1007.05,28.89,97.95,240.83,0.01,2024062808
8,2024-06-28 05:16:43,0.0,1007.06,28.89,98.2,265.0,0.01,2024062808
8,2024-06-28 05:17:41,0.0,1007.03,28.9,98.26,290.83,0.02,2024062808
8,2024-06-28 05:18:42,0.0,1007.01,28.94,97.96,317.5,0.03,2024062808
8,2024-06-28 05:19:46,0.0,1007.04,28.95,98.01,345.0,0.03,2024062808
8,2024-06-28 05:20:43,0.0,1007.0,28.96,97.95,374.17,0.04,2024062808
8,2024-06-28 05:21:41,0.0,1007.03,28.98,98.11,401.67,0.04,2024062808
8,2024-06-28 05:22:41,0.0,1007.01,28.99,98.23,428.33,0.04,2024062808
8,2024-06-28 05:23:41,0.0,1006.99,29.01,98.37,456.67,0.05,2024062808
8,2024-06-28 05:24:42,0.0,1007.0,29.05,98.38,485.83,0.05,2024062808
8,2024-06-28 05:25:42,0.0,1006.99,29.08,98.28,517.5,0.05,2024062808
8,2024-06-28 05:26:41,0.0,1007.01,29.13,98.16,551.67,0.05,2024062808
8,2024-06-28 05:27:43,0.0,1007.01,29.19,98.13,586.67,0.09,2024062808
8,2024-06-28 05:28:42,0.0,1007.04,29.25,98.07,624.17,0.1,2024062808
8,2024-06-28 05:29:41,0.0,1007.08,29.27,98.56,665.83,0.11,2024062808
8,2024-06-28 05:30:41,0.0,1007.11,29.25,98.45,710.83,0.12,2024062808
8,2024-06-28 05:31:42,0.0,1007.14,29.23,98.57,760.0,0.15,2024062808
8,2024-06-28 05:32:41,0.0,1007.08,29.2,98.78,811.67,0.16,2024062808
8,2024-06-28 05:33:41,0.0,1007.1,29.21,98.82,866.67,0.18,2024062808
8,2024-06-28 05:34:42,0.0,1007.1,29.23,98.77,922.5,0.19,2024062808
8,2024-06-28 05:35:42,0.0,1007.15,29.22,98.62,980.83,0.2,2024062808
8,2024-06-28 05:36:43,0.0,1007.09,29.18,98.85,1040.83,0.21,2024062808
8,2024-06-28 05:37:48,0.0,1007.14,29.14,99.07,1103.33,0.3,2024062808
8,2024-06-28 05:38:44,0.0,1007.14,29.08,99.17,1165.0,0.29,2024062808
8,2024-06-28 05:39:41,0.0,1007.13,29.05,99.38,1225.83,0.37,2024062808
8,2024-06-28 05:40:41,0.0,1007.12,29.01,99.6,1280.83,0.39,2024062808
8,2024-06-28 05:41:42,0.0,1007.09,28.94,99.54,1336.67,0.4,2024062808
8,2024-06-28 05:42:41,0.0,1007.08,28.89,100.0,1395.83,0.41,2024062808
8,2024-06-28 05:43:42,0.0,1007.05,28.84,100.0,1447.5,0.43,2024062808
8,2024-06-28 05:44:41,0.0,1007.05,28.82,100.0,1485.0,0.53,2024062808
8,2024-06-28 05:45:44,0.0,1006.99,28.81,99.93,1524.17,0.51,2024062808
8,2024-06-28 05:46:42,0.0,1007.0,28.79,100.0,1560.83,0.47,2024062808
8,2024-06-28 05:47:44,0.0,1006.99,28.77,100.0,1601.67,0.57,2024062808
8,2024-06-28 05:48:42,0.0,1006.96,28.7,100.0,1645.83,0.59,2024062808
8,2024-06-28 05:49:41,0.0,1007.02,28.66,100.0,1686.67,0.7,2024062808
8,2024-06-28 05:50:43,0.0,1006.99,28.66,100.0,1721.67,0.68,2024062808
