LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),DateLoc
16,2024-03-22 05:49:15,0.0,1017.49,19.24,64.64,20.0,0.0,2024032216
16,2024-03-22 05:50:15,0.0,1017.46,19.24,64.14,23.33,0.0,2024032216
16,2024-03-22 05:51:15,0.0,1017.45,19.26,64.02,28.33,0.0,2024032216
16,2024-03-22 05:52:15,0.0,1017.44,19.29,64.28,33.33,0.0,2024032216
16,2024-03-22 05:53:15,0.0,1017.45,19.3,64.65,39.17,0.0,2024032216
16,2024-03-22 05:54:15,0.0,1017.46,19.32,64.28,45.83,0.0,2024032216
16,2024-03-22 05:55:15,0.0,1017.47,19.34,64.13,53.33,0.0,2024032216
16,2024-03-22 05:56:15,0.0,1017.49,19.36,64.31,59.17,0.0,2024032216
16,2024-03-22 05:57:15,0.0,1017.51,19.38,64.29,66.67,0.0,2024032216
16,2024-03-22 05:58:15,0.0,1017.49,19.4,64.22,75.0,0.01,2024032216
16,2024-03-22 05:59:15,0.0,1017.52,19.43,64.1,84.17,0.0,2024032216
16,2024-03-22 06:00:15,0.0,1017.5,19.43,64.1,94.17,0.0,2024032216
16,2024-03-22 06:01:15,0.0,1017.5,19.46,64.11,105.0,0.0,2024032216
16,2024-03-22 06:02:15,0.0,1017.53,19.47,64.04,117.5,0.01,2024032216
16,2024-03-22 06:03:15,0.0,1017.5,19.47,64.32,131.67,0.01,2024032216
16,2024-03-22 06:04:15,0.0,1017.51,19.48,64.07,146.67,0.01,2024032216
16,2024-03-22 06:05:15,0.0,1017.51,19.49,64.17,162.5,0.01,2024032216
16,2024-03-22 06:06:15,0.0,1017.51,19.5,64.43,183.33,0.01,2024032216
16,2024-03-22 06:07:15,0.0,1017.54,19.51,64.76,207.5,0.01,2024032216
16,2024-03-22 06:08:15,0.0,1017.53,19.5,64.42,231.67,0.02,2024032216
16,2024-03-22 06:09:15,0.0,1017.51,19.49,64.29,260.83,0.02,2024032216
16,2024-03-22 06:10:15,0.0,1017.49,19.5,64.83,290.0,0.03,2024032216
16,2024-03-22 06:11:15,0.0,1017.52,19.51,64.46,315.0,0.02,2024032216
16,2024-03-22 06:12:15,0.0,1017.52,19.51,64.79,339.17,0.03,2024032216
16,2024-03-22 06:13:15,0.0,1017.54,19.51,64.61,360.83,0.03,2024032216
16,2024-03-22 06:14:15,0.0,1017.51,19.5,64.46,380.83,0.06,2024032216
16,2024-03-22 06:15:15,0.0,1017.55,19.51,64.95,409.17,0.06,2024032216
16,2024-03-22 06:16:15,0.0,1017.54,19.5,64.43,444.17,0.07,2024032216
16,2024-03-22 06:17:15,0.0,1017.53,19.5,64.78,476.67,0.08,2024032216
16,2024-03-22 06:18:15,0.0,1017.56,19.5,64.47,507.5,0.08,2024032216
16,2024-03-22 06:19:15,0.0,1017.54,19.51,64.93,535.83,0.11,2024032216
16,2024-03-22 06:20:15,0.0,1017.55,19.51,64.73,566.67,0.12,2024032216
16,2024-03-22 06:21:15,0.0,1017.59,19.53,64.55,602.5,0.12,2024032216
16,2024-03-22 06:22:15,0.0,1017.59,19.54,64.68,647.5,0.13,2024032216
