LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW),DateLoc
16,2024-06-08 04:50:07,0.0,1007.65,25.29,100.0,20.83,0.0,2024060816
16,2024-06-08 04:51:07,0.0,1007.64,25.28,100.0,25.83,0.0,2024060816
16,2024-06-08 04:52:07,0.0,1007.71,25.29,100.0,32.5,0.0,2024060816
16,2024-06-08 04:53:07,0.0,1007.67,25.29,100.0,40.0,0.0,2024060816
16,2024-06-08 04:54:07,0.0,1007.67,25.28,100.0,50.0,0.0,2024060816
16,2024-06-08 04:55:07,0.0,1007.67,25.28,100.0,61.67,0.0,2024060816
16,2024-06-08 04:56:07,0.0,1007.7,25.28,100.0,74.17,0.01,2024060816
16,2024-06-08 04:57:07,0.0,1007.68,25.26,100.0,88.33,0.01,2024060816
16,2024-06-08 04:58:07,0.0,1007.65,25.22,100.0,104.17,0.01,2024060816
16,2024-06-08 04:59:07,0.0,1007.67,25.21,100.0,121.67,0.01,2024060816
16,2024-06-08 05:00:07,0.0,1007.65,25.2,100.0,140.0,0.01,2024060816
16,2024-06-08 05:01:07,0.0,1007.7,25.22,100.0,160.0,0.02,2024060816
16,2024-06-08 05:02:07,0.0,1007.67,25.23,100.0,180.0,0.01,2024060816
16,2024-06-08 05:03:07,0.0,1007.65,25.23,100.0,200.83,0.02,2024060816
16,2024-06-08 05:04:07,0.0,1007.7,25.24,100.0,224.17,0.02,2024060816
16,2024-06-08 05:05:07,0.0,1007.72,25.23,100.0,250.83,0.02,2024060816
16,2024-06-08 05:06:07,0.0,1007.75,25.21,100.0,280.83,0.03,2024060816
16,2024-06-08 05:07:07,0.0,1007.74,25.19,100.0,315.0,0.03,2024060816
16,2024-06-08 05:08:07,0.0,1007.74,25.19,100.0,350.83,0.03,2024060816
16,2024-06-08 05:09:07,0.0,1007.75,25.19,100.0,388.33,0.05,2024060816
16,2024-06-08 05:10:07,0.0,1007.74,25.19,100.0,430.0,0.07,2024060816
16,2024-06-08 05:11:07,0.0,1007.74,25.17,100.0,480.0,0.07,2024060816
16,2024-06-08 05:12:07,0.0,1007.77,25.13,100.0,536.67,0.11,2024060816
16,2024-06-08 05:13:07,0.0,1007.78,25.08,100.0,608.33,0.12,2024060816
16,2024-06-08 05:14:07,0.0,1007.74,25.04,100.0,682.5,0.14,2024060816
16,2024-06-08 05:15:07,0.0,1007.72,25.0,100.0,735.83,0.14,2024060816
16,2024-06-08 05:16:07,0.0,1007.75,24.99,100.0,789.17,0.19,2024060816
16,2024-06-08 05:17:07,0.0,1007.69,24.96,100.0,875.83,0.21,2024060816
16,2024-06-08 05:18:07,0.0,1007.76,24.96,100.0,995.0,0.3,2024060816
16,2024-06-08 05:19:07,0.0,1007.73,24.99,100.0,1137.5,0.43,2024060816
16,2024-06-08 05:20:07,0.0,1007.73,25.01,100.0,1263.33,0.49,2024060816
16,2024-06-08 05:21:07,0.0,1007.73,25.05,100.0,1367.5,0.62,2024060816
16,2024-06-08 05:22:07,0.0,1007.74,25.07,100.0,1447.5,0.64,2024060816
16,2024-06-08 05:23:07,0.0,1007.73,25.11,100.0,1508.33,0.67,2024060816
16,2024-06-08 05:24:07,0.0,1007.74,25.15,100.0,1603.33,0.76,2024060816
16,2024-06-08 05:25:07,0.0,1007.76,25.2,100.0,1691.67,0.8,2024060816
16,2024-06-08 05:26:07,0.0,1007.73,25.22,100.0,1737.5,0.8,2024060816
16,2024-06-08 05:27:07,0.0,1007.73,25.24,100.0,1823.33,0.97,2024060816
16,2024-06-08 05:28:07,0.0,1007.76,25.25,100.0,1969.17,1.19,2024060816
16,2024-06-08 05:29:07,0.0,1007.76,25.2,100.0,2076.67,1.41,2024060816
16,2024-06-08 05:30:07,0.0,1007.75,25.17,100.0,2171.67,1.51,2024060816
16,2024-06-08 05:31:07,0.0,1007.74,25.15,100.0,2265.0,1.65,2024060816
16,2024-06-08 05:32:07,0.0,1007.74,25.15,100.0,2422.5,1.81,2024060816
16,2024-06-08 05:33:07,0.0,1007.74,25.16,100.0,2583.33,2.24,2024060816
16,2024-06-08 05:34:07,0.0,1007.8,25.21,100.0,2753.33,2.66,2024060816
16,2024-06-08 05:35:07,0.0,1007.77,25.27,100.0,2920.0,2.99,2024060816
16,2024-06-08 05:36:07,0.0,1007.77,25.34,100.0,3097.5,3.41,2024060816
16,2024-06-08 05:37:07,0.0,1007.78,25.42,100.0,3262.5,3.84,2024060816
16,2024-06-08 05:38:07,0.0,1007.76,25.46,100.0,3419.17,4.18,2024060816
16,2024-06-08 05:39:07,0.0,1007.79,25.5,100.0,3580.0,4.6,2024060816
